trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.6, 'e': 0.22424852815044813}",20,3,-38.166330972165525,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
75,False,"{'a': 0.6, 'e': 0.21976355758743915}",20,1,-32.27398620039359,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
76,False,"{'a': 0.6, 'e': 0.21536828643569036}",30,16,4.156538480194566,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.6, 'e': 0.21106092070697655}",20,6,14.057410075210026,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.6, 'e': 0.20683970229283702}",20,0,-15.754495278714982,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
79,False,"{'a': 0.6, 'e': 0.20270290824698028}",30,3,-20.41128163649643,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.6, 'e': 0.19864885008204067}",25,11,25.39330154613237,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.6, 'e': 0.19467587308039985}",25,0,-37.754012605115356,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
82,False,"{'a': 0.6, 'e': 0.19078235561879187}",20,10,-12.841162240771453,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
83,False,"{'a': 0.6, 'e': 0.18696670850641603}",25,0,-10.735724299624797,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
84,False,"{'a': 0.6, 'e': 0.18322737433628772}",20,0,6.890671150409706,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
85,False,"{'a': 0.6, 'e': 0.17956282684956196}",20,4,24.848537193711273,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.6, 'e': 0.1759715703125707}",30,7,30.139680616491784,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.6, 'e': 0.1724521389063193}",20,16,6.400355180086988,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.6, 'e': 0.16900309612819292}",30,8,18.338037543674112,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.6, 'e': 0.16562303420562907}",20,6,3.753714192640415,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.6, 'e': 0.16231057352151648}",20,14,9.965760043696953,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.6, 'e': 0.15906436205108615}",25,14,-20.383298212618293,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
92,False,"{'a': 0.6, 'e': 0.15588307481006441}",20,0,-16.96569521492115,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
93,False,"{'a': 0.6, 'e': 0.15276541331386312}",25,0,-17.833195204326802,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
94,False,"{'a': 0.6, 'e': 0.14971010504758586}",20,0,-39.92167300163479,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
95,False,"{'a': 0.6, 'e': 0.14671590294663414}",20,0,-4.305961103656746,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
96,False,"{'a': 0.6, 'e': 0.14378158488770146}",25,7,24.161340031091484,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.6, 'e': 0.14090595318994742}",20,0,22.722828566611284,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.6, 'e': 0.13808783412614847}",20,0,6.544091755323401,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.6, 'e': 0.13532607744362551}",20,0,7.671240432542935,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
100,False,"{'a': 0.6, 'e': 0.132619555894753}",20,0,7.7426232595649305,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
101,False,"{'a': 0.6, 'e': 0.12996716477685794}",20,13,6.030267048939377,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.6, 'e': 0.12736782148132078}",25,0,-6.697872045090726,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
103,False,"{'a': 0.6, 'e': 0.12482046505169436}",20,0,-41.18466686579876,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
104,False,"{'a': 0.6, 'e': 0.12232405575066048}",20,10,-36.875891154142366,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.6, 'e': 0.11987757463564727}",20,10,11.656857206724796,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.6, 'e': 0.11748002314293432}",20,15,3.819901615699456,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.6, 'e': 0.11513042268007563}",20,3,11.895487211448405,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.6, 'e': 0.11282781422647412}",25,12,6.131008144273468,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.6, 'e': 0.11057125794194463}",20,12,9.063572294369626,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.6, 'e': 0.10835983278310574}",20,0,14.90399040868394,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.6, 'e': 0.10619263612744362}",20,8,26.382751942278095,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.6, 'e': 0.10406878340489474}",20,9,20.75792336718767,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.6, 'e': 0.10198740773679685}",30,18,22.69856318211172,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.6, 'e': 0.09994765958206091}",25,8,27.93040459750301,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.6, 'e': 0.0979487063904197}",25,0,32.55941638350312,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
116,False,"{'a': 0.6, 'e': 0.0959897322626113}",25,3,-4.427081892114716,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.6, 'e': 0.09406993761735907}",25,0,27.68194226225959,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
118,False,"{'a': 0.6, 'e': 0.0921885388650119}",25,11,26.3750042779919,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.6, 'e': 0.09034476808771166}",20,0,14.166599854098466,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.6, 'e': 0.08853787272595742}",20,14,12.427031371377383,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.6, 'e': 0.08676711527143827}",20,3,-4.110503702346332,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
122,False,"{'a': 0.6, 'e': 0.0850317729660095}",25,12,22.642556651299728,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.6, 'e': 0.08333113750668932}",25,19,-2.03609625269323,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.6, 'e': 0.08166451475655553}",35,21,28.805674461661724,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.6, 'e': 0.08003122446142442}",20,13,13.093378758622682,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.6, 'e': 0.07843059997219594}",20,0,-18.126282415844678,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
127,False,"{'a': 0.6, 'e': 0.07686198797275202}",20,9,20.672207480564865,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.6, 'e': 0.07532474821329699}",20,11,16.164390346052055,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.6, 'e': 0.07381825324903105}",20,3,28.842638753640955,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.6, 'e': 0.07234188818405042}",25,10,24.21270305006462,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.6, 'e': 0.07089505042036941}",35,18,26.082958203975124,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.6, 'e': 0.06947714941196202}",20,2,-12.39633734460966,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.6, 'e': 0.06808760642372277}",25,0,26.246169543557308,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.6, 'e': 0.06672585429524831}",20,0,16.033410355401973,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.6, 'e': 0.06539133720934334}",20,14,10.849594455274815,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.6, 'e': 0.06408351046515648}",20,14,14.192872497238115,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.6, 'e': 0.06280184025585335}",20,0,16.8770968865782,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.6, 'e': 0.061545803450736285}",30,2,0.17303460140470905,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.6, 'e': 0.060314887381721555}",25,8,-44.59976322187283,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
140,False,"{'a': 0.6, 'e': 0.05910858963408712}",25,16,-37.92387745006279,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
141,False,"{'a': 0.6, 'e': 0.05792641784140538}",25,11,-21.023191314515465,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.6, 'e': 0.05676788948457727}",20,0,20.46270658429172,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.6, 'e': 0.055632531694885724}",25,0,6.53952905174794,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
144,False,"{'a': 0.6, 'e': 0.054519881060988006}",20,2,-25.28939844645289,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.6, 'e': 0.05342948343976824}",20,2,33.497840775919556,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.6, 'e': 0.052360893770972874}",20,14,11.222422419473872,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.6, 'e': 0.05131367589555342}",25,10,-17.979594507464565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.6, 'e': 0.05028740237764235}",35,15,35.03342526974306,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.6, 'e': 0.0492816543300895}",20,8,21.456274537832808,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.6, 'e': 0.04829602124348771}",25,19,10.248135613911154,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.6, 'e': 0.04733010081861796}",20,0,-14.178415455601757,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
152,False,"{'a': 0.6, 'e': 0.0463834988022456}",20,15,3.487372409282564,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.6, 'e': 0.04545582882620069}",20,9,18.032616287963993,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.6, 'e': 0.04454671224967667}",20,10,17.845948911408936,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.6, 'e': 0.043655778004683135}",30,16,15.072738476181408,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.6, 'e': 0.04278266244458947}",20,6,30.616711718614276,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.6, 'e': 0.04192700919569768}",20,6,-42.93755108717753,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
158,False,"{'a': 0.6, 'e': 0.04108846901178373}",20,7,10.907971938323747,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.6, 'e': 0.04026669963154805}",20,6,27.559667848642224,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.6, 'e': 0.03946136563891709}",30,1,34.759551702873985,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.6, 'e': 0.03867213832613875}",20,0,-8.965685177472851,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
162,False,"{'a': 0.6, 'e': 0.037898695559615975}",25,16,16.580448262357528,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.6, 'e': 0.03714072164842366}",20,0,28.989797653804697,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.6, 'e': 0.03639790721545518}",25,5,-14.291696911848074,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",1
165,False,"{'a': 0.6, 'e': 0.035669949071146075}",35,22,20.79100078022523,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.6, 'e': 0.034956550089723155}",20,8,23.27010256377235,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.6, 'e': 0.03425741908792869}",20,12,14.692095426988615,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.6, 'e': 0.03357227070617012}",20,11,16.716358769042426,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.6, 'e': 0.032900825292046715}",20,0,12.443148031340417,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
170,False,"{'a': 0.6, 'e': 0.03224280878620578}",30,14,-14.354721719617126,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
