trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.5, 'e': 0.984376353409469}",25,0,-240.89140119857484,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 4}",0
61,False,"{'a': 0.5, 'e': 0.9838436927881214}",20,0,-91.05185296522238,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9833021775801796}",20,0,-18.671071948741222,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.9827518126592768}",25,0,-75.0881505829633,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9821926029786937}",20,0,-229.99961752972456,"{0: 9, 1: 2, 2: 3, 3: 2, 4: 4}",0
65,False,"{'a': 0.5, 'e': 0.9816245535713135}",25,2,-93.20790543949803,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.9810476695495772}",20,0,-42.91173261009791,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9804619561054371}",20,0,-48.63404282174784,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.97986741851031}",20,0,-136.96130883619713,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.9792640621150305}",20,3,-189.22931242822267,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 4}",1
70,False,"{'a': 0.5, 'e': 0.978651892349802}",20,0,-62.14032082815392,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9780309147241483}",20,0,-107.04766462144245,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9774011348268636}",20,0,-154.4265967324177,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
73,False,"{'a': 0.5, 'e': 0.9767625583259631}",20,0,-73.03967933263944,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9761151909686308}",30,0,-147.7489082349114,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.9754590385811684}",20,0,-143.40281649087146,"{0: 9, 1: 4, 2: 3, 3: 3, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9747941070689433}",35,19,-140.1611764618768,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 3}",1
77,False,"{'a': 0.5, 'e': 0.9741204024163344}",30,0,-210.68182924852758,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
78,False,"{'a': 0.5, 'e': 0.9734379306866789}",20,0,-186.62841324009182,"{0: 8, 1: 3, 2: 4, 3: 3, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.9727466980222181}",25,16,-61.211079414101306,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 1}",1
